Year,0
1990,829.6416666666668
1991,785.125
1992,788.2083333333334
1993,797.8249999999999
1994,839.8916666666665
1995,864.0916666666666
1996,857.2166666666668
1997,864.3166666666666
1998,880.1583333333333
1999,888.025
2000,886.2583333333333
2001,811.85
2002,753.3000000000002
2003,708.9500000000002
2004,688.8833333333332
2005,667.7666666666668
2006,638.3416666666668
2007,607.8
2008,563.0
2009,455.1333333333334
2010,466.19166666666666
2011,501.8833333333334
2012,530.5333333333333
2013,548.7666666666665
2014,574.8333333333333
2015,591.8
2016,605.7583333333333
2017,616.1083333333333
2018,628.5916666666667
2019,626.275
2020,556.7583333333334
