,turnout,manufacturing_jobs,unemployment_rate,cpi_all_items,cpi_gasoline,cpi_medical_care,econ_event,civil_event,fl_one_hot,penn_one_hot,ohio_one_hot,mi_one_hot,nc_one_hot
0,1,409.44166666666666,9.3,56.90833333333334,46.99166666666667,51.99166666666667,0,0,1,0,0,0,0
1,1,703.5041666666666,8.008333333333333,56.90833333333334,46.99166666666667,51.99166666666667,0,0,0,1,0,0,0
2,1,825.6916666666666,7.725,56.90833333333334,46.99166666666667,51.99166666666667,0,0,0,0,1,0,0
3,0,684.5770833333333,9.4,56.90833333333334,46.99166666666667,51.99166666666667,0,0,0,0,0,1,0
4,1,603.040625,6.191666666666666,56.90833333333334,46.99166666666667,51.99166666666667,0,0,0,0,0,0,1
5,0,409.44166666666666,5.983333333333333,82.40833333333332,97.51666666666665,74.87499999999999,1,1,1,0,0,0,0
6,0,703.5041666666666,8.141666666666667,82.40833333333332,97.51666666666665,74.87499999999999,1,1,0,1,0,0,0
7,0,825.6916666666666,8.316666666666666,82.40833333333332,97.51666666666665,74.87499999999999,1,1,0,0,1,0,0
8,0,684.5770833333333,12.3,82.40833333333332,97.51666666666665,74.87499999999999,1,1,0,0,0,1,0
9,0,603.040625,6.425,82.40833333333332,97.51666666666665,74.87499999999999,1,1,0,0,0,0,1
10,0,409.44166666666666,6.591666666666666,103.88333333333333,97.76666666666665,106.85833333333333,0,0,1,0,0,0,0
11,0,703.5041666666666,8.933333333333334,103.88333333333333,97.76666666666665,106.85833333333333,0,0,0,1,0,0,0
12,0,825.6916666666666,9.466666666666669,103.88333333333333,97.76666666666665,106.85833333333333,0,0,0,0,1,0,0
13,0,684.5770833333333,11.233333333333334,103.88333333333333,97.76666666666665,106.85833333333333,0,0,0,0,0,1,0
14,0,603.040625,6.575,103.88333333333333,97.76666666666665,106.85833333333333,0,0,0,0,0,0,1
15,0,409.44166666666666,5.191666666666666,118.25833333333333,80.8,138.64166666666668,0,0,1,0,0,0,0
16,0,703.5041666666666,5.133333333333334,118.25833333333333,80.8,138.64166666666668,0,0,0,1,0,0,0
17,0,825.6916666666666,6.016666666666667,118.25833333333333,80.8,138.64166666666668,0,0,0,0,1,0,0
18,0,684.5770833333333,7.566666666666666,118.25833333333333,80.8,138.64166666666668,0,0,0,0,0,1,0
19,0,603.040625,3.7,118.25833333333333,80.8,138.64166666666668,0,0,0,0,0,0,1
20,0,473.01666666666665,8.366666666666667,140.31666666666666,98.97499999999998,190.06666666666663,1,0,1,0,0,0,0
21,1,891.2666666666668,7.45,140.31666666666666,98.97499999999998,190.06666666666663,1,0,0,1,0,0,0
22,1,993.3583333333332,7.391666666666667,140.31666666666666,98.97499999999998,190.06666666666663,1,0,0,0,1,0,0
23,1,788.2083333333334,9.066666666666666,140.31666666666666,98.97499999999998,190.06666666666663,1,0,0,0,0,1,0
24,0,803.2666666666668,6.25,140.31666666666666,98.97499999999998,190.06666666666663,1,0,0,0,0,0,1
25,1,485.94166666666666,5.283333333333333,156.84999999999997,105.86666666666667,228.225,0,0,1,0,0,0,0
26,1,868.2083333333331,5.491666666666667,156.84999999999997,105.86666666666667,228.225,0,0,0,1,0,0,0
27,1,1030.225,4.991666666666666,156.84999999999997,105.86666666666667,228.225,0,0,0,0,1,0,0
28,1,857.2166666666668,4.891666666666667,156.84999999999997,105.86666666666667,228.225,0,0,0,0,0,1,0
29,0,809.8250000000002,4.341666666666667,156.84999999999997,105.86666666666667,228.225,0,0,0,0,0,0,1
30,0,478.1333333333334,3.758333333333333,172.19999999999996,128.56666666666666,260.75,1,1,1,0,0,0,0
31,1,865.1083333333335,4.225,172.19999999999996,128.56666666666666,260.75,1,1,0,1,0,0,0
32,0,1022.325,4.116666666666666,172.19999999999996,128.56666666666666,260.75,1,1,0,0,1,0,0
33,1,886.2583333333333,3.6916666666666655,172.19999999999996,128.56666666666666,260.75,1,1,0,0,0,1,0
34,0,758.6749999999998,3.758333333333333,172.19999999999996,128.56666666666666,260.75,1,1,0,0,0,0,1
35,0,410.86666666666673,3.75,188.88333333333335,159.66666666666669,310.1333333333334,1,0,1,0,0,0,0
36,1,691.4166666666666,5.358333333333333,188.88333333333335,159.66666666666669,310.1333333333334,1,0,0,1,0,0,0
37,0,823.4583333333334,6.25,188.88333333333335,159.66666666666669,310.1333333333334,1,0,0,0,1,0,0
38,1,688.8833333333332,6.95,188.88333333333335,159.66666666666669,310.1333333333334,1,0,0,0,0,1,0
39,0,577.3666666666667,5.858333333333333,188.88333333333335,159.66666666666669,310.1333333333334,1,0,0,0,0,0,1
40,1,371.89166666666665,5.691666666666666,215.3025,277.45666666666665,364.06483333333335,1,0,1,0,0,0,0
41,1,644.4333333333333,5.3500000000000005,215.3025,277.45666666666665,364.06483333333335,1,0,0,1,0,0,0
42,1,739.5166666666668,6.6000000000000005,215.3025,277.45666666666665,364.06483333333335,1,0,0,0,1,0,0
43,1,563.0,8.216666666666667,215.3025,277.45666666666665,364.06483333333335,1,0,0,0,0,1,0
44,1,516.05,6.208333333333333,215.3025,277.45666666666665,364.06483333333335,1,0,0,0,0,0,1
45,1,319.15833333333336,8.666666666666666,229.5939166666667,311.46975000000003,414.9239166666668,0,0,1,0,0,0,0
46,1,568.4833333333332,7.658333333333334,229.5939166666667,311.46975000000003,414.9239166666668,0,0,0,1,0,0,0
47,1,657.0666666666667,7.408333333333334,229.5939166666667,311.46975000000003,414.9239166666668,0,0,0,0,1,0,0
48,1,530.5333333333333,9.058333333333334,229.5939166666667,311.46975000000003,414.9239166666668,0,0,0,0,0,1,0
49,0,440.55,9.516666666666667,229.5939166666667,311.46975000000003,414.9239166666668,0,0,0,0,0,0,1
50,0,357.9333333333332,4.916666666666667,240.00716666666665,187.60191666666665,463.67466666666655,1,1,1,0,0,0,0
51,0,561.3083333333333,5.341666666666666,240.00716666666665,187.60191666666665,463.67466666666655,1,1,0,1,0,0,0
52,0,686.5166666666665,5.075,240.00716666666665,187.60191666666665,463.67466666666655,1,1,0,0,1,0,0
53,0,605.7583333333333,5.008333333333334,240.00716666666665,187.60191666666665,463.67466666666655,1,1,0,0,0,1,0
54,0,465.3333333333334,5.1,240.00716666666665,187.60191666666665,463.67466666666655,1,1,0,0,0,0,1
55,0,378.5916666666667,8.191666666666666,258.8111666666667,194.1295,518.8755,1,1,1,0,0,0,0
56,1,537.8083333333333,8.875,258.8111666666667,194.1295,518.8755,1,1,0,1,0,0,0
57,0,653.0666666666666,8.266666666666667,258.8111666666667,194.1295,518.8755,1,1,0,0,1,0,0
58,1,556.7583333333334,10.05,258.8111666666667,194.1295,518.8755,1,1,0,0,0,1,0
59,0,453.2583333333334,7.283333333333332,258.8111666666667,194.1295,518.8755,1,1,0,0,0,0,1
